!Gene list based on the Araport11 genome release
!Release date of annotation: June 2016 
!Annotated by: Araport at J. Craig Ventner Institute
name	gene_model_type
AT1G03110	protein_coding
AT1G03120	protein_coding
AT1G03130	protein_coding
AT1G03140	protein_coding
AT1G03150	protein_coding
AT1G03160	protein_coding
AT1G03165	protein_coding
AT1G03170	protein_coding
AT1G03180	protein_coding
AT1G03190	protein_coding
AT1G03200	protein_coding
AT1G03210	protein_coding
AT1G03220	protein_coding
AT1G03230	protein_coding
AT1G03240	protein_coding
AT1G03250	protein_coding
AT1G03260	protein_coding
AT1G03270	protein_coding
AT1G03280	protein_coding
AT1G03290	protein_coding
AT1G03300	protein_coding
AT1G03310	protein_coding
AT1G03320	protein_coding
AT1G03325	protein_coding
AT1G03330	protein_coding
AT1G03340	protein_coding
AT1G03350	protein_coding
AT1G03360	protein_coding
AT1G03365	protein_coding
AT1G03370	protein_coding
AT1G03380	protein_coding
AT1G03390	protein_coding
AT1G03395	protein_coding
AT1G03400	protein_coding
AT1G03410	protein_coding
AT1G03420	transposable_element_gene
AT1G03430	protein_coding
AT1G03440	protein_coding
AT1G03445	protein_coding
AT1G03457	protein_coding
AT1G03470	protein_coding
AT1G03475	protein_coding
AT1G03490	protein_coding
AT1G03495	protein_coding
AT1G03502	small_nucleolar_rna
AT1G03506	small_nucleolar_rna
AT1G03510	protein_coding
AT1G03515	pre_trna
AT1G03520	protein_coding
AT1G03530	protein_coding
AT1G03540	protein_coding
AT1G03545	antisense_long_noncoding_rna
AT1G03550	protein_coding
AT1G03560	protein_coding
AT1G03570	pre_trna
AT1G03580	pseudogene
AT1G03590	protein_coding
AT1G03600	protein_coding
AT1G03610	protein_coding
AT1G03620	protein_coding
AT1G03630	protein_coding
AT1G03640	pre_trna
AT1G03650	protein_coding
AT1G03660	protein_coding
AT1G03670	protein_coding
AT1G03680	protein_coding
AT1G03687	protein_coding
AT1G03700	protein_coding
AT1G03710	protein_coding
AT1G03720	protein_coding
AT1G03730	protein_coding
AT1G03740	protein_coding
AT1G03743	small_nucleolar_rna
AT1G03746	small_nucleolar_rna
AT1G03750	protein_coding
AT1G03760	protein_coding
AT1G03770	protein_coding
AT1G03780	protein_coding
AT1G03790	protein_coding
AT1G03800	protein_coding
AT1G03810	protein_coding
AT1G03820	protein_coding
AT1G03830	protein_coding
AT1G03840	protein_coding
AT1G03850	protein_coding
AT1G03860	protein_coding
AT1G03870	protein_coding
AT1G03880	protein_coding
AT1G03890	protein_coding
AT1G03900	protein_coding
AT1G03905	protein_coding
AT1G03910	protein_coding
AT1G03920	protein_coding
AT1G03930	protein_coding
AT1G03935	small_nucleolar_rna
AT1G03940	protein_coding
AT1G03950	protein_coding
AT1G03960	protein_coding
AT1G03970	protein_coding
AT1G03980	protein_coding
AT1G03982	protein_coding
AT1G03987	long_noncoding_rna
AT1G03990	protein_coding
AT1G03993	antisense_long_noncoding_rna
AT1G03997	antisense_long_noncoding_rna
AT1G04000	protein_coding
AT1G04003	long_noncoding_rna
AT1G04007	antisense_long_noncoding_rna
AT1G04010	protein_coding
AT1G04013	antisense_long_noncoding_rna
AT1G04017	long_noncoding_rna
AT1G04020	protein_coding
AT1G04023	long_noncoding_rna
AT1G04027	miRNA_primary_transcript
AT1G04030	protein_coding
AT1G04033	long_noncoding_rna
AT1G04037	long_noncoding_rna
AT1G04040	protein_coding
AT1G04043	antisense_long_noncoding_rna
AT1G04047	antisense_long_noncoding_rna
AT1G04050	protein_coding
AT1G04053	antisense_long_noncoding_rna
AT1G04057	antisense_rna
AT1G04063	long_noncoding_rna
AT1G04067	antisense_long_noncoding_rna
AT1G04070	protein_coding
AT1G04073	antisense_long_noncoding_rna
AT1G04077	antisense_long_noncoding_rna
AT1G04080	protein_coding
AT1G04083	antisense_long_noncoding_rna
AT1G04087	long_noncoding_rna
AT1G04090	protein_coding
AT1G04093	long_noncoding_rna
AT1G04097	antisense_long_noncoding_rna
AT1G04100	protein_coding
AT1G04103	antisense_long_noncoding_rna
AT1G04105	protein_coding
AT1G04107	novel_transcribed_region
AT1G04110	protein_coding
AT1G04117	antisense_long_noncoding_rna
AT1G04120	protein_coding
AT1G04123	antisense_long_noncoding_rna
AT1G04127	long_noncoding_rna
AT1G04130	protein_coding
AT1G04133	long_noncoding_rna
AT1G04137	long_noncoding_rna
AT1G04140	protein_coding
AT1G04143	long_noncoding_rna
AT1G04147	antisense_long_noncoding_rna
AT1G04150	protein_coding
AT1G04153	antisense_long_noncoding_rna
AT1G04157	antisense_long_noncoding_rna
AT1G04160	protein_coding
AT1G04163	antisense_long_noncoding_rna
AT1G04167	long_noncoding_rna
AT1G04170	protein_coding
AT1G04173	long_noncoding_rna
AT1G04177	long_noncoding_rna
AT1G04180	protein_coding
AT1G04183	antisense_long_noncoding_rna
AT1G04187	small_nucleolar_rna
AT1G04190	protein_coding
AT1G04193	small_nucleolar_rna
AT1G04197	small_nucleolar_rna
AT1G04200	protein_coding
AT1G04203	long_noncoding_rna
AT1G04207	long_noncoding_rna
AT1G04210	protein_coding
AT1G04213	small_nucleolar_rna
AT1G04217	small_nucleolar_rna
AT1G04220	protein_coding
AT1G04223	small_nucleolar_rna
AT1G04227	small_nucleolar_rna
AT1G04230	protein_coding
AT1G04233	antisense_long_noncoding_rna
AT1G04237	antisense_long_noncoding_rna
AT1G04240	protein_coding
AT1G04243	long_noncoding_rna
AT1G04247	antisense_long_noncoding_rna
AT1G04250	protein_coding
AT1G04253	long_noncoding_rna
AT1G04257	long_noncoding_rna
AT1G04260	protein_coding
AT1G04263	small_nuclear_rna
AT1G04267	small_nucleolar_rna
AT1G04270	protein_coding
AT1G04273	small_nucleolar_rna
AT1G04277	small_nucleolar_rna
AT1G04280	protein_coding
AT1G04283	long_noncoding_rna
AT1G04287	long_noncoding_rna
AT1G04290	protein_coding
AT1G04293	long_noncoding_rna
AT1G04295	antisense_long_noncoding_rna
AT1G04297	antisense_long_noncoding_rna
AT1G04300	protein_coding
AT1G04303	antisense_long_noncoding_rna
AT1G04307	long_noncoding_rna
AT1G04310	protein_coding
AT1G04313	long_noncoding_rna
AT1G04317	novel_transcribed_region
AT1G04320	pre_trna
AT1G04323	long_noncoding_rna
AT1G04327	long_noncoding_rna
AT1G04330	protein_coding
AT1G04333	long_noncoding_rna
AT1G04337	long_noncoding_rna
